Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-03-24,155.149994,156.910004,143.820007,149.259995,149.259995,2310400,28
2022-03-25,149.960007,149.979996,142.714996,146.039993,146.039993,1161200,29
2022-03-28,146.25,150.300003,144.169998,150.130005,150.130005,939700,30
2022-03-29,154,158.190002,150.619995,157.309998,157.309998,1597200,31
2022-03-30,154.360001,159.339996,153.509995,156.160004,156.160004,1643100,32
2022-03-31,154.910004,156.570007,150.809998,151.020004,151.020004,1371800,33
2022-04-01,152.539993,156.259995,152,153.699997,153.699997,1408800,34
2022-04-04,154.970001,160.059998,153.820007,158.839996,158.839996,2213800,35
2022-04-05,159.169998,159.830002,147.660004,148.910004,148.910004,1695400,36
2022-04-06,145.339996,146.080002,141.755005,145.639999,145.639999,2308400,37
2022-04-07,144.589996,148.300003,138.009995,141.389999,141.389999,1404300,38
2022-04-08,141.380005,144.669998,138.160004,141.279999,141.279999,1434100,39
2022-04-11,138.199997,142.5,135.830002,139.610001,139.610001,1416400,40
2022-04-12,144.949997,146.429993,138.509995,138.899994,138.899994,1043200,41
2022-04-13,138.119995,148.470001,136.5,141.339996,141.339996,1092500,42
2022-04-14,141.25,141.919998,136.014999,136.270004,136.270004,1304400,43
2022-04-18,136.559998,136.559998,131.529999,134.429993,134.429993,960900,44
2022-04-19,132.740005,138.740005,131.970001,137.410004,137.410004,907000,45
2022-04-20,130.009995,131.229996,121.57,122.489998,122.489998,5654800,46
2022-04-21,123.339996,126.400002,110.529999,112.620003,112.620003,4384300,47
2022-04-22,112.699997,116.699997,109.099998,110.209999,110.209999,2445000,48
2022-04-25,108.769997,113.625,107.209999,112.139999,112.139999,3044800,49
2022-04-26,112.339996,114.514999,105.400002,110.410004,110.410004,4875400,50
2022-04-27,97.220001,105.639999,95.739998,96.669998,96.669998,9175100,51
2022-04-28,96.910004,104.514999,95.220001,102.68,102.68,4117900,52
2022-04-29,102.040001,107.029999,101.550003,101.650002,101.650002,2981700,53
2022-05-02,101.169998,109.389999,99.900002,108.860001,108.860001,2698800,54
2022-05-03,107.260002,110.940002,106.550003,109.489998,109.489998,2004300,55
2022-05-04,108.620003,113.360001,104.120003,112.550003,112.550003,2479800,56
2022-05-05,110.419998,110.839996,104.339996,105.589996,105.589996,2449700,57
2022-05-06,108.330002,108.980003,101.57,104.68,104.68,3018600,58
2022-05-09,101.779999,104.190002,93.519997,94.440002,94.440002,2305500,59
2022-05-10,97.870003,100.519997,93.68,99.169998,99.169998,3158000,60
2022-05-11,97.709999,101.379997,91.349998,91.940002,91.940002,2894500,61
2022-05-12,90.440002,100.75,89.029999,97.080002,97.080002,3096000,62
2022-05-13,99.949997,106.950996,99.949997,106.089996,106.089996,2479800,63
2022-05-16,104.309998,106.860001,100.555,101.050003,101.050003,2077400,64
2022-05-17,103.110001,106.699997,101,105.059998,105.059998,2874600,65
2022-05-18,103.440002,107.639999,102.849998,104.400002,104.400002,1803100,66
2022-05-19,104,108.519997,103.010002,105.769997,105.769997,1908400,67
2022-05-20,107.25,108.400002,102.959999,107.269997,107.269997,1856300,68
2022-05-23,106.269997,109.279999,103.110001,109.07,109.07,2430100,69
2022-05-24,105.5,106.389999,102.190002,103.5,103.5,3996400,70
2022-05-25,103.379997,109.82,102.839996,108.790001,108.790001,2400500,71
2022-05-26,107.989998,110.910004,107.239998,108.620003,108.620003,2272700,72
2022-05-27,109.699997,113.379997,109.010002,112.970001,112.970001,2716300,73
2022-05-31,115.220001,115.599998,110.379997,112.769997,112.769997,1770400,74
2022-06-01,114.019997,116.129997,109.809998,110,110,1499100,75
2022-06-02,110.040001,117.25,109.410004,116.5,116.5,1283500,76
2022-06-03,114.199997,115.709999,111.349998,112.230003,112.230003,1086900,77
2022-06-06,116.989998,117.440002,110.309998,111.040001,111.040001,2425000,78
2022-06-07,110,110.230003,107.309998,109.43,109.43,2408300,79
2022-06-08,110.120003,119,110,116.029999,116.029999,4138400,80
2022-06-09,116.089996,118.080002,111.769997,111.93,111.93,2768300,81
2022-06-10,108.849998,111.336998,102.059998,102.230003,102.230003,2497300,82
2022-06-13,98.620003,100.660004,96.074997,98.610001,98.610001,2493000,83
2022-06-14,102.540001,103,97.209999,98.050003,98.050003,2466700,84
2022-06-15,103.690002,106.900002,101,105.349998,105.349998,2885400,85
2022-06-16,102.349998,102.949997,96.690002,97.849998,97.849998,2165600,86
2022-06-17,98.959999,101.489998,96.809998,99.269997,99.269997,1776300,87
2022-06-21,101.010002,104.839996,101.010002,101.400002,101.400002,1568200,88
